"area_fips","industry_code","own_code","size_code","year_num","quarter_num","yoy_pct_change_wages"
"01025","10","Local Government","All sizes",2023,1,"7.4"
"01025","10","Private","All sizes",2023,1,"4.3"
"01027","10","Total Covered","All sizes",2023,1,"3.7"
"01027","10","Federal Government","All sizes",2023,1,"27.3"
"01027","10","State Government","All sizes",2023,1,"22.4"
"01027","10","Local Government","All sizes",2023,1,"20.8"
"01027","10","Private","All sizes",2023,1,"0.1"
"01029","10","Total Covered","All sizes",2023,1,"11.7"
"01029","10","Federal Government","All sizes",2023,1,"16.9"
"01029","10","State Government","All sizes",2023,1,"22.8"
"01029","10","Local Government","All sizes",2023,1,"4.1"
"01029","10","Private","All sizes",2023,1,"13.1"
"01031","10","Total Covered","All sizes",2023,1,"12.8"
"01031","10","Federal Government","All sizes",2023,1,"12.8"
"01031","10","State Government","All sizes",2023,1,"19.3"
"01031","10","Local Government","All sizes",2023,1,"12.3"
"01031","10","Private","All sizes",2023,1,"12.6"
"01033","10","Total Covered","All sizes",2023,1,"9.9"
"01033","10","Federal Government","All sizes",2023,1,"13.2"
"01033","10","State Government","All sizes",2023,1,"17.7"
"01033","10","Local Government","All sizes",2023,1,"1.1"
"01033","10","Private","All sizes",2023,1,"11.0"
"01035","10","Total Covered","All sizes",2023,1,"11.7"
"01035","10","Federal Government","All sizes",2023,1,"23.1"
"01035","10","State Government","All sizes",2023,1,"21.7"
"01035","10","Local Government","All sizes",2023,1,"23.1"
"01035","10","Private","All sizes",2023,1,"9.0"
"01037","10","Total Covered","All sizes",2023,1,"18.8"
"01037","10","Federal Government","All sizes",2023,1,"23.2"
"01037","10","State Government","All sizes",2023,1,"12.3"
"01037","10","Local Government","All sizes",2023,1,"0"
"01037","10","Private","All sizes",2023,1,"0"
"01039","10","Total Covered","All sizes",2023,1,"9.0"
"01039","10","Federal Government","All sizes",2023,1,"14.4"
"01039","10","State Government","All sizes",2023,1,"16.6"
"01039","10","Local Government","All sizes",2023,1,"12.8"
"01039","10","Private","All sizes",2023,1,"8.1"
"01041","10","Total Covered","All sizes",2023,1,"9.5"
"01041","10","Federal Government","All sizes",2023,1,"30.5"
"01041","10","State Government","All sizes",2023,1,"14.8"
"01041","10","Local Government","All sizes",2023,1,"12.2"
"01041","10","Private","All sizes",2023,1,"8.6"
"01043","10","Total Covered","All sizes",2023,1,"9.9"
"01043","10","Federal Government","All sizes",2023,1,"15.0"
"01043","10","State Government","All sizes",2023,1,"14.1"
"01043","10","Local Government","All sizes",2023,1,"9.0"
"01043","10","Private","All sizes",2023,1,"9.9"
"01045","10","Total Covered","All sizes",2023,1,"10.5"
"01045","10","Federal Government","All sizes",2023,1,"9.0"
"01045","10","State Government","All sizes",2023,1,"20.2"
"01045","10","Local Government","All sizes",2023,1,"6.8"
"01045","10","Private","All sizes",2023,1,"11.2"
"01047","10","Total Covered","All sizes",2023,1,"6.8"
"01047","10","Federal Government","All sizes",2023,1,"11.5"
"01047","10","State Government","All sizes",2023,1,"13.3"
"01047","10","Local Government","All sizes",2023,1,"8.4"
"01047","10","Private","All sizes",2023,1,"6.0"
"01049","10","Total Covered","All sizes",2023,1,"12.9"
"01049","10","Federal Government","All sizes",2023,1,"23.5"
"01049","10","State Government","All sizes",2023,1,"14.4"
"01049","10","Local Government","All sizes",2023,1,"9.1"
"01049","10","Private","All sizes",2023,1,"13.3"
"01051","10","Total Covered","All sizes",2023,1,"12.3"
"01051","10","Federal Government","All sizes",2023,1,"49.4"
"01051","10","State Government","All sizes",2023,1,"16.1"
"01051","10","Local Government","All sizes",2023,1,"10.6"
"01051","10","Private","All sizes",2023,1,"11.8"
"01053","10","Total Covered","All sizes",2023,1,"13.3"
"01053","10","Federal Government","All sizes",2023,1,"28.0"
"01053","10","State Government","All sizes",2023,1,"11.9"
"01053","10","Local Government","All sizes",2023,1,"17.2"
"01053","10","Private","All sizes",2023,1,"11.8"
"01055","10","Total Covered","All sizes",2023,1,"9.6"
"01055","10","Federal Government","All sizes",2023,1,"18.6"
"01055","10","State Government","All sizes",2023,1,"14.3"
"01055","10","Local Government","All sizes",2023,1,"8.9"
"01055","10","Private","All sizes",2023,1,"9.4"
"01057","10","Total Covered","All sizes",2023,1,"8.9"
"01057","10","Federal Government","All sizes",2023,1,"9.4"
"01057","10","State Government","All sizes",2023,1,"5.0"
"01057","10","Local Government","All sizes",2023,1,"-0.3"
"01057","10","Private","All sizes",2023,1,"12.3"
"01059","10","Total Covered","All sizes",2023,1,"5.6"
"01059","10","Federal Government","All sizes",2023,1,"17.0"
"01059","10","State Government","All sizes",2023,1,"20.0"
"01059","10","Local Government","All sizes",2023,1,"7.1"
"01059","10","Private","All sizes",2023,1,"4.7"
"01061","10","Total Covered","All sizes",2023,1,"13.5"
"01061","10","Federal Government","All sizes",2023,1,"21.9"
"01061","10","State Government","All sizes",2023,1,"16.8"
"01061","10","Local Government","All sizes",2023,1,"5.1"
"01061","10","Private","All sizes",2023,1,"16.2"
"01063","10","Total Covered","All sizes",2023,1,"8.2"
"01063","10","Federal Government","All sizes",2023,1,"14.8"
"01063","10","State Government","All sizes",2023,1,"10.4"
"01063","10","Local Government","All sizes",2023,1,"11.9"
"01063","10","Private","All sizes",2023,1,"6.7"
"01065","10","Total Covered","All sizes",2023,1,"7.3"
"01065","10","Federal Government","All sizes",2023,1,"20.0"
"01065","10","State Government","All sizes",2023,1,"17.9"
"01065","10","Local Government","All sizes",2023,1,"7.2"
"01065","10","Private","All sizes",2023,1,"6.5"
"01067","10","Total Covered","All sizes",2023,1,"14.4"
"01067","10","Federal Government","All sizes",2023,1,"46.2"
"01067","10","State Government","All sizes",2023,1,"5.0"
"01067","10","Local Government","All sizes",2023,1,"17.4"
"01067","10","Private","All sizes",2023,1,"13.7"
"01069","10","Total Covered","All sizes",2023,1,"9.7"
"01069","10","Federal Government","All sizes",2023,1,"12.4"
"01069","10","State Government","All sizes",2023,1,"17.6"
"01069","10","Local Government","All sizes",2023,1,"9.2"
"01069","10","Private","All sizes",2023,1,"9.6"
"01071","10","Total Covered","All sizes",2023,1,"10.8"
"01071","10","Federal Government","All sizes",2023,1,"15.0"
"01071","10","State Government","All sizes",2023,1,"18.2"
"01071","10","Local Government","All sizes",2023,1,"9.0"
"01071","10","Private","All sizes",2023,1,"11.1"
"01073","10","Total Covered","All sizes",2023,1,"9.8"
"01073","10","Federal Government","All sizes",2023,1,"18.3"
"01073","10","State Government","All sizes",2023,1,"15.7"
"01073","10","Local Government","All sizes",2023,1,"13.9"
"01073","10","Private","All sizes",2023,1,"8.8"
"01075","10","Total Covered","All sizes",2023,1,"14.5"
"01075","10","Federal Government","All sizes",2023,1,"29.3"
"01075","10","State Government","All sizes",2023,1,"14.0"
"01075","10","Local Government","All sizes",2023,1,"6.6"
"01075","10","Private","All sizes",2023,1,"15.6"
"01077","10","Total Covered","All sizes",2023,1,"13.4"
"01077","10","Federal Government","All sizes",2023,1,"11.6"
"01077","10","State Government","All sizes",2023,1,"9.0"
"01077","10","Local Government","All sizes",2023,1,"15.2"
"01077","10","Private","All sizes",2023,1,"13.4"
"01079","10","Total Covered","All sizes",2023,1,"18.0"
"01079","10","Federal Government","All sizes",2023,1,"18.7"
"01079","10","State Government","All sizes",2023,1,"15.1"
"01079","10","Local Government","All sizes",2023,1,"8.3"
"01079","10","Private","All sizes",2023,1,"20.8"
"01081","10","Total Covered","All sizes",2023,1,"14.6"
"01081","10","Federal Government","All sizes",2023,1,"13.8"
"01081","10","State Government","All sizes",2023,1,"27.5"
"01081","10","Local Government","All sizes",2023,1,"11.8"
"01081","10","Private","All sizes",2023,1,"12.2"
"01083","10","Total Covered","All sizes",2023,1,"24.7"
"01083","10","Federal Government","All sizes",2023,1,"2.5"
"01083","10","State Government","All sizes",2023,1,"5.9"
"01083","10","Local Government","All sizes",2023,1,"15.4"
"01083","10","Private","All sizes",2023,1,"32.6"
"01085","10","Total Covered","All sizes",2023,1,"74.6"
"01085","10","Federal Government","All sizes",2023,1,"25.1"
"01085","10","State Government","All sizes",2023,1,"17.7"
"01085","10","Local Government","All sizes",2023,1,"14.7"
"01085","10","Private","All sizes",2023,1,"87.0"
"01087","10","Total Covered","All sizes",2023,1,"10.8"
"01087","10","Federal Government","All sizes",2023,1,"13.0"
"01087","10","State Government","All sizes",2023,1,"8.5"
"01087","10","Local Government","All sizes",2023,1,"5.5"
"01087","10","Private","All sizes",2023,1,"13.2"
"01089","10","Total Covered","All sizes",2023,1,"11.3"
"01089","10","Federal Government","All sizes",2023,1,"8.7"
"01089","10","State Government","All sizes",2023,1,"18.2"
"01089","10","Local Government","All sizes",2023,1,"8.7"
"01089","10","Private","All sizes",2023,1,"12.0"
"01091","10","Total Covered","All sizes",2023,1,"13.8"
"01091","10","Federal Government","All sizes",2023,1,"10.7"
"01091","10","State Government","All sizes",2023,1,"11.0"
"01091","10","Local Government","All sizes",2023,1,"7.1"
"01091","10","Private","All sizes",2023,1,"15.2"
"01093","10","Total Covered","All sizes",2023,1,"7.4"
"01093","10","Federal Government","All sizes",2023,1,"20.0"
"01093","10","State Government","All sizes",2023,1,"13.2"
"01093","10","Local Government","All sizes",2023,1,"8.1"
"01093","10","Private","All sizes",2023,1,"7.0"
"01095","10","Total Covered","All sizes",2023,1,"11.7"
"01095","10","Federal Government","All sizes",2023,1,"16.4"
"01095","10","State Government","All sizes",2023,1,"15.7"
"01095","10","Local Government","All sizes",2023,1,"9.9"
"01095","10","Private","All sizes",2023,1,"11.9"
"01097","10","Total Covered","All sizes",2023,1,"9.3"
"01097","10","Federal Government","All sizes",2023,1,"14.2"
"01097","10","State Government","All sizes",2023,1,"19.2"
"01097","10","Local Government","All sizes",2023,1,"13.2"
"01097","10","Private","All sizes",2023,1,"8.3"
"01099","10","Total Covered","All sizes",2023,1,"-1.5"
"01099","10","Federal Government","All sizes",2023,1,"23.3"
"01099","10","State Government","All sizes",2023,1,"10.1"
"01099","10","Local Government","All sizes",2023,1,"9.5"
"01099","10","Private","All sizes",2023,1,"-3.8"
"01101","10","Total Covered","All sizes",2023,1,"12.8"
"01101","10","Federal Government","All sizes",2023,1,"17.0"
"01101","10","State Government","All sizes",2023,1,"24.3"
"01101","10","Local Government","All sizes",2023,1,"6.1"
"01101","10","Private","All sizes",2023,1,"10.2"
"01103","10","Total Covered","All sizes",2023,1,"13.3"
"01103","10","Federal Government","All sizes",2023,1,"23.9"
"01103","10","State Government","All sizes",2023,1,"21.1"
"01103","10","Local Government","All sizes",2023,1,"6.6"
"01103","10","Private","All sizes",2023,1,"13.9"
"01105","10","Total Covered","All sizes",2023,1,"7.6"
"01105","10","Federal Government","All sizes",2023,1,"22.6"
"01105","10","State Government","All sizes",2023,1,"15.3"
"01105","10","Local Government","All sizes",2023,1,"12.7"
"01105","10","Private","All sizes",2023,1,"5.8"
"01107","10","Total Covered","All sizes",2023,1,"8.3"
"01107","10","Federal Government","All sizes",2023,1,"8.2"
"01107","10","State Government","All sizes",2023,1,"21.9"
"01107","10","Local Government","All sizes",2023,1,"9.2"
"01107","10","Private","All sizes",2023,1,"7.6"
"01109","10","Total Covered","All sizes",2023,1,"8.0"
"01109","10","Federal Government","All sizes",2023,1,"15.3"
"01109","10","State Government","All sizes",2023,1,"8.4"
"01109","10","Local Government","All sizes",2023,1,"14.5"
"01109","10","Private","All sizes",2023,1,"7.1"
"01111","10","Total Covered","All sizes",2023,1,"9.2"
"01111","10","Federal Government","All sizes",2023,1,"20.6"
"01111","10","State Government","All sizes",2023,1,"8.0"
"01111","10","Local Government","All sizes",2023,1,"4.7"
"01111","10","Private","All sizes",2023,1,"10.0"
"01113","10","Total Covered","All sizes",2023,1,"15.7"
"01113","10","Federal Government","All sizes",2023,1,"24.8"
"01113","10","State Government","All sizes",2023,1,"11.6"
"01113","10","Local Government","All sizes",2023,1,"7.2"
"01113","10","Private","All sizes",2023,1,"17.5"
"01115","10","Total Covered","All sizes",2023,1,"14.6"
"01115","10","Federal Government","All sizes",2023,1,"26.8"
"01115","10","State Government","All sizes",2023,1,"17.6"
"01115","10","Local Government","All sizes",2023,1,"8.6"
"01115","10","Private","All sizes",2023,1,"15.3"
"01117","10","Total Covered","All sizes",2023,1,"6.5"
"01117","10","Federal Government","All sizes",2023,1,"19.7"
"01117","10","State Government","All sizes",2023,1,"34.1"
"01117","10","Local Government","All sizes",2023,1,"10.9"
"01117","10","Private","All sizes",2023,1,"5.9"
"01119","10","Total Covered","All sizes",2023,1,"9.3"
"01119","10","Federal Government","All sizes",2023,1,"10.6"
"01119","10","State Government","All sizes",2023,1,"6.4"
"01119","10","Local Government","All sizes",2023,1,"2.5"
"01119","10","Private","All sizes",2023,1,"11.8"
"01121","10","Total Covered","All sizes",2023,1,"19.9"
"01121","10","Federal Government","All sizes",2023,1,"12.2"
"01121","10","State Government","All sizes",2023,1,"9.5"
"01121","10","Local Government","All sizes",2023,1,"6.1"
"01121","10","Private","All sizes",2023,1,"21.9"
"01123","10","Total Covered","All sizes",2023,1,"14.5"
"01123","10","Federal Government","All sizes",2023,1,"15.8"
"01123","10","State Government","All sizes",2023,1,"17.3"
"01123","10","Local Government","All sizes",2023,1,"15.6"
"01123","10","Private","All sizes",2023,1,"14.2"
"01125","10","Total Covered","All sizes",2023,1,"13.7"
"01125","10","Federal Government","All sizes",2023,1,"24.7"
"01125","10","State Government","All sizes",2023,1,"8.1"
"01125","10","Local Government","All sizes",2023,1,"7.7"
"01125","10","Private","All sizes",2023,1,"15.2"
"01127","10","Total Covered","All sizes",2023,1,"14.1"
"01127","10","Federal Government","All sizes",2023,1,"17.6"
"01127","10","State Government","All sizes",2023,1,"6.2"
"01127","10","Local Government","All sizes",2023,1,"11.5"
"01127","10","Private","All sizes",2023,1,"14.6"
"01129","10","Total Covered","All sizes",2023,1,"103.8"
"01129","10","Federal Government","All sizes",2023,1,"18.1"
"01129","10","State Government","All sizes",2023,1,"10.5"
"01129","10","Local Government","All sizes",2023,1,"9.7"
"01129","10","Private","All sizes",2023,1,"116.1"
"01131","10","Total Covered","All sizes",2023,1,"7.8"
"01131","10","Federal Government","All sizes",2023,1,"8.7"
"01131","10","State Government","All sizes",2023,1,"25.0"
"01131","10","Local Government","All sizes",2023,1,"14.3"
"01131","10","Private","All sizes",2023,1,"5.9"
"01133","10","Total Covered","All sizes",2023,1,"-1.4"
"01133","10","Federal Government","All sizes",2023,1,"10.9"
"01133","10","State Government","All sizes",2023,1,"12.5"
"01133","10","Local Government","All sizes",2023,1,"6.9"
"01133","10","Private","All sizes",2023,1,"-2.8"
"01999","10","Total Covered","All sizes",2023,1,"19.7"
"01999","10","Federal Government","All sizes",2023,1,"71.4"
"01999","10","State Government","All sizes",2023,1,"-11.3"
"01999","10","Local Government","All sizes",2023,1,"0"
"01999","10","Private","All sizes",2023,1,"0"
"02000","10","Total Covered","All sizes",2023,1,"13.1"
"02000","10","Federal Government","All sizes",2023,1,"11.8"
"02000","10","State Government","All sizes",2023,1,"7.5"
"02000","10","Local Government","All sizes",2023,1,"9.0"
"02000","10","Private","All sizes",2023,1,"14.4"
"02000","10",NULL,"All sizes",2023,1,"9.3"
"02013","10","Total Covered","All sizes",2023,1,"3.6"
"02013","10","Federal Government","All sizes",2023,1,"20.6"
"02013","10","State Government","All sizes",2023,1,"-0.9"
"02013","10","Local Government","All sizes",2023,1,"4.3"
"02013","10","Private","All sizes",2023,1,"3.5"
"02016","10","Total Covered","All sizes",2023,1,"27.4"
"02016","10","Federal Government","All sizes",2023,1,"-4.6"
"02016","10","State Government","All sizes",2023,1,"18.2"
"02016","10","Local Government","All sizes",2023,1,"18.1"
"02016","10","Private","All sizes",2023,1,"28.7"
"02020","10","Total Covered","All sizes",2023,1,"11.0"
"02020","10","Federal Government","All sizes",2023,1,"11.8"
"02020","10","State Government","All sizes",2023,1,"8.1"
"02020","10","Local Government","All sizes",2023,1,"7.8"
"02020","10","Private","All sizes",2023,1,"11.4"
"02050","10","Total Covered","All sizes",2023,1,"9.5"
"02050","10","Federal Government","All sizes",2023,1,"17.5"
"02050","10","State Government","All sizes",2023,1,"6.6"
"02050","10","Local Government","All sizes",2023,1,"6.9"
"02050","10","Private","All sizes",2023,1,"10.9"
"02060","10","Total Covered","All sizes",2023,1,"12.4"
"02060","10","Federal Government","All sizes",2023,1,"-3.2"
"02060","10","State Government","All sizes",2023,1,"-17.7"
"02060","10","Local Government","All sizes",2023,1,"20.6"
"02060","10","Private","All sizes",2023,1,"13.9"
"02063","10","Total Covered","All sizes",2023,1,"9.9"
"02063","10","Federal Government","All sizes",2023,1,"-3.4"
"02063","10","State Government","All sizes",2023,1,"6.4"
"02063","10","Local Government","All sizes",2023,1,"4.5"
"02063","10","Private","All sizes",2023,1,"12.0"
"02066","10","Total Covered","All sizes",2023,1,"11.7"
"02066","10","Federal Government","All sizes",2023,1,"22.3"
"02066","10","State Government","All sizes",2023,1,"7.6"
"02066","10","Local Government","All sizes",2023,1,"8.6"
"02066","10","Private","All sizes",2023,1,"11.1"
"02068","10","Total Covered","All sizes",2023,1,"-7.6"
"02068","10","Federal Government","All sizes",2023,1,"9.4"
"02068","10","State Government","All sizes",2023,1,"9.5"
"02068","10","Local Government","All sizes",2023,1,"0.5"
"02068","10","Private","All sizes",2023,1,"-12.9"
"02070","10","Total Covered","All sizes",2023,1,"25.1"
"02070","10","Federal Government","All sizes",2023,1,"61.9"
"02070","10","State Government","All sizes",2023,1,"-4.9"
"02070","10","Local Government","All sizes",2023,1,"7.9"
"02070","10","Private","All sizes",2023,1,"31.9"
"02090","10","Total Covered","All sizes",2023,1,"15.5"
"02090","10","Federal Government","All sizes",2023,1,"10.1"
"02090","10","State Government","All sizes",2023,1,"7.8"
"02090","10","Local Government","All sizes",2023,1,"8.0"
"02090","10","Private","All sizes",2023,1,"18.5"
"02100","10","Total Covered","All sizes",2023,1,"15.7"
"02100","10","Federal Government","All sizes",2023,1,"35.9"
"02100","10","State Government","All sizes",2023,1,"2.8"
"02100","10","Local Government","All sizes",2023,1,"4.4"
"02100","10","Private","All sizes",2023,1,"19.0"
"02105","10","Total Covered","All sizes",2023,1,"20.3"
"02105","10","Federal Government","All sizes",2023,1,"47.6"
"02105","10","State Government","All sizes",2023,1,"-22.8"
"02105","10","Local Government","All sizes",2023,1,"14.8"
"02105","10","Private","All sizes",2023,1,"12.6"
"02110","10","Total Covered","All sizes",2023,1,"12.1"
"02110","10","Federal Government","All sizes",2023,1,"4.6"
"02110","10","State Government","All sizes",2023,1,"4.9"
"02110","10","Local Government","All sizes",2023,1,"12.0"
"02110","10","Private","All sizes",2023,1,"16.0"
"02122","10","Total Covered","All sizes",2023,1,"14.7"
"02122","10","Federal Government","All sizes",2023,1,"13.9"
"02122","10","State Government","All sizes",2023,1,"6.4"
"02122","10","Local Government","All sizes",2023,1,"14.3"
"02122","10","Private","All sizes",2023,1,"15.7"
"02130","10","Total Covered","All sizes",2023,1,"15.4"
"02130","10","Federal Government","All sizes",2023,1,"6.7"
"02130","10","State Government","All sizes",2023,1,"17.3"
"02130","10","Local Government","All sizes",2023,1,"11.4"
"02130","10","Private","All sizes",2023,1,"17.1"
"02150","10","Total Covered","All sizes",2023,1,"15.8"
"02150","10","Federal Government","All sizes",2023,1,"14.7"
"02150","10","State Government","All sizes",2023,1,"6.6"
"02150","10","Local Government","All sizes",2023,1,"5.7"
"02150","10","Private","All sizes",2023,1,"19.1"
"02158","10","Total Covered","All sizes",2023,1,"8.0"
"02158","10","Federal Government","All sizes",2023,1,"34.6"
"02158","10","State Government","All sizes",2023,1,"6.7"
"02158","10","Local Government","All sizes",2023,1,"3.5"
"02158","10","Private","All sizes",2023,1,"16.9"
"02164","10","Total Covered","All sizes",2023,1,"17.8"
"02164","10","Federal Government","All sizes",2023,1,"5.3"
"02164","10","State Government","All sizes",2023,1,"-13.1"
"02164","10","Local Government","All sizes",2023,1,"9.5"
"02164","10","Private","All sizes",2023,1,"28.2"
"02170","10","Total Covered","All sizes",2023,1,"11.5"
"02170","10","Federal Government","All sizes",2023,1,"24.4"
"02170","10","State Government","All sizes",2023,1,"9.9"
"02170","10","Local Government","All sizes",2023,1,"3.3"
"02170","10","Private","All sizes",2023,1,"12.8"
"02180","10","Total Covered","All sizes",2023,1,"9.9"
"02180","10","Federal Government","All sizes",2023,1,"4.8"
"02180","10","State Government","All sizes",2023,1,"9.0"
"02180","10","Local Government","All sizes",2023,1,"11.1"
"02180","10","Private","All sizes",2023,1,"9.6"
"02185","10","Total Covered","All sizes",2023,1,"24.9"
"02185","10","Federal Government","All sizes",2023,1,"24.3"
"02185","10","State Government","All sizes",2023,1,"2.5"
"02185","10","Local Government","All sizes",2023,1,"20.9"
"02185","10","Private","All sizes",2023,1,"25.5"
"02188","10","Total Covered","All sizes",2023,1,"8.2"
"02188","10","Federal Government","All sizes",2023,1,"2.3"
"02188","10","State Government","All sizes",2023,1,"4.2"
"02188","10","Local Government","All sizes",2023,1,"-5.7"
"02188","10","Private","All sizes",2023,1,"12.9"
"02195","10","Total Covered","All sizes",2023,1,"8.5"
"02195","10","Federal Government","All sizes",2023,1,"13.4"
"02195","10","State Government","All sizes",2023,1,"20.7"
"02195","10","Local Government","All sizes",2023,1,"0.8"
"02195","10","Private","All sizes",2023,1,"13.4"
"02198","10","Total Covered","All sizes",2023,1,"1.8"
"02198","10","Federal Government","All sizes",2023,1,"20.6"
"02198","10","State Government","All sizes",2023,1,"-4.7"
"02198","10","Local Government","All sizes",2023,1,"7.4"
"02198","10","Private","All sizes",2023,1,"-5.9"
"02220","10","Total Covered","All sizes",2023,1,"13.8"
"02220","10","Federal Government","All sizes",2023,1,"0.9"
"02220","10","State Government","All sizes",2023,1,"7.2"
"02220","10","Local Government","All sizes",2023,1,"1.5"
"02220","10","Private","All sizes",2023,1,"17.9"
"02230","10","Total Covered","All sizes",2023,1,"11.4"
"02230","10","Federal Government","All sizes",2023,1,"-64.0"
"02230","10","State Government","All sizes",2023,1,"10.7"
"02230","10","Local Government","All sizes",2023,1,"28.5"
"02230","10","Private","All sizes",2023,1,"22.4"
"02240","10","Total Covered","All sizes",2023,1,"17.4"
"02240","10","Federal Government","All sizes",2023,1,"6.2"
"02240","10","State Government","All sizes",2023,1,"9.4"
"02240","10","Local Government","All sizes",2023,1,"-0.6"
"02240","10","Private","All sizes",2023,1,"22.3"
"02275","10","Total Covered","All sizes",2023,1,"19.8"
"02275","10","Federal Government","All sizes",2023,1,"14.0"
"02275","10","State Government","All sizes",2023,1,"4.6"
"02275","10","Local Government","All sizes",2023,1,"17.6"
"02275","10","Private","All sizes",2023,1,"21.9"
"02282","10","Total Covered","All sizes",2023,1,"14.5"
"02282","10","Federal Government","All sizes",2023,1,"-5.5"
"02282","10","State Government","All sizes",2023,1,"0.3"
"02282","10","Local Government","All sizes",2023,1,"16.4"
"02282","10","Private","All sizes",2023,1,"18.1"
"02290","10","Total Covered","All sizes",2023,1,"8.7"
"02290","10","Federal Government","All sizes",2023,1,"11.1"
"02290","10","State Government","All sizes",2023,1,"-8.2"
"02290","10","Local Government","All sizes",2023,1,"16.1"
"02290","10","Private","All sizes",2023,1,"-0.8"
"02999","10","Total Covered","All sizes",2023,1,"28.4"
"02999","10","Federal Government","All sizes",2023,1,"80.4"
"02999","10","State Government","All sizes",2023,1,"6.7"
"02999","10","Private","All sizes",2023,1,"27.4"
"04000","10","Total Covered","All sizes",2023,1,"11.3"
"04000","10","Federal Government","All sizes",2023,1,"15.1"
"04000","10","State Government","All sizes",2023,1,"11.1"
"04000","10","Local Government","All sizes",2023,1,"13.2"
"04000","10","Private","All sizes",2023,1,"11.1"
"04000","10",NULL,"All sizes",2023,1,"13.2"
"04001","10","Total Covered","All sizes",2023,1,"10.4"
"04001","10","Federal Government","All sizes",2023,1,"10.5"
"04001","10","State Government","All sizes",2023,1,"10.3"
"04001","10","Local Government","All sizes",2023,1,"5.4"
"04001","10","Private","All sizes",2023,1,"15.4"
"04003","10","Total Covered","All sizes",2023,1,"9.9"
