"state_name","county_name","year","qtr","total_establishments","total_employment","total_wages","avg_weekly_wage"
"Missouri","New Madrid County",2023,1,"1806","15146.0000000000000000","173907128","883.23"
"Illinois","Iroquois County",2023,1,"1376","13726.0000000000000000","148482000","832.12"
"Montana","Daniels County",2023,1,"202","1179.3333333333333334","13683866","892.54"
"Mississippi","Bolivar County",2023,1,"1666","20956.6666666666666667","222579716","817.00"
"West Virginia","Wirt County",2023,1,"200","1555.3333333333333333","16208238","801.62"
"Mississippi","Lauderdale County",2023,1,"3748","62458.0000000000000000","711665120","876.48"
"Florida","Duval County",2023,1,"70298","1105444.6666666666656667","20096339078","1398.42"
"Ohio","Wyandot County",2023,1,"1170","20310.6666666666666666","269274184","1019.83"
"Georgia","Houston County",2023,1,"6762","129451.3333333333343333","1844643456","1096.13"
"Oklahoma","Ottawa County",2023,1,"1568","25799.3333333333333334","276474222","824.33"
"Nebraska","Wheeler County",2023,1,"74","548.6666666666666666","5727578","803.01"
"Minnesota","Le Sueur County",2023,1,"1582","16029.3333333333333333","209769456","1006.66"
"Georgia","Colquitt County",2023,1,"2382","30401.3333333333336666","352339118","891.51"
"Georgia","Pickens County",2023,1,"1806","17409.3333333333333333","236462660","1044.81"
"Missouri","Adair County",2023,1,"1416","18670.0000000000000000","200065342","824.30"
"Florida","Walton County",2023,1,"7804","65202.0000000000000000","898609732","1060.15"
"New Mexico","Rio Arriba County",2023,1,"1822","18242.0000000000000000","210667698","888.35"
"Virginia","Isle of Wight County",2023,1,"2124","21060.6666666666666666","359983712","1314.82"
"Minnesota","Steele County",2023,1,"2268","37268.6666666666666667","585706722","1208.91"
"South Dakota","Clay County",2023,1,"900","9619.66666666666666660000","104323144","834.21"
"Michigan","Mackinac County",2023,1,"1080","6785.3333333333333333","78246398","887.05"
"South Dakota","Potter County",2023,1,"288","1529.9999999999999999","17351188","872.36"
"Georgia","Mitchell County",2023,1,"1006","13426.6666666666666667","139186970","797.42"
"Texas","Hidalgo County",2023,1,"27784","573050.6666666666660000","5810414826","779.96"
"Michigan","Wayne County",2023,1,"78828","1418231.333333333334","27811080918","1508.44"
"Texas","Kimble County",2023,1,"348","2447.3333333333333334","25219978","792.70"
"Tennessee","Bledsoe County",2023,1,"370","4662.0000000000000000","52954088","873.74"
"Tennessee","Fentress County",2023,1,"768","10941.3333333333333334","106402350","748.06"
"Tennessee","Bradley County",2023,1,"4620","84742.6666666666666667","1139131614","1034.02"
"Wyoming","Big Horn County",2023,1,"1006","7699.3333333333333334","92623052","925.39"
"Illinois","DeKalb County",2023,1,"3906","63160.00000000000033330000","800724516","975.21"
"New York","Greene County",2023,1,"2726","29071.3333333333336667","408332602","1080.45"
"Georgia","Clay County",2023,1,"142","1244.6666666666666666","10298288","636.46"
"Texas","Hardin County",2023,1,"1994","24087.9999999999999999","310250540","990.76"
"Texas","Armstrong County",2023,1,"156","1004.6666666666666666","11680272","894.31"
"Florida","Charlotte County",2023,1,"11736","107112.6666666666663333","1396664790","1003.02"
"Illinois","Rock Island County",2023,1,"5808","136987.66666666666733330000","2238614912","1257.06"
"North Carolina","Wilkes County",2023,1,"2804","38506.6666666666666667","440738736","880.44"
"New York","Columbia County",2023,1,"4408","40061.3333333333336667","547155808","1050.61"
"Texas","Upshur County",2023,1,"1200","15618.6666666666666666","182005482","896.39"
"Ohio","Vinton County",2023,1,"428","4358.0000000000000000","47633000","840.77"
"West Virginia","Jackson County",2023,1,"1350","15930.6666666666666666","211444028","1020.98"
"Texas","Wilbarger County",2023,1,"698","11640.6666666666666665","126964292","839.00"
"Ohio","Lawrence County",2023,1,"2026","26902.0000000000000001","303560756","868.00"
"Mississippi","Calhoun County",2023,1,"536","5768.0000000000000000","53551670","714.17"
"Kentucky","Butler County",2023,1,"570","5901.3333333333333334","60411250","787.45"
"Texas","Titus County",2023,1,"1762","34125.3333333333340001","411672458","927.96"
"New York","Madison County",2023,1,"3282","40743.3333333333340000","546529216","1031.84"
"Tennessee","Marion County",2023,1,"1098","16232.6666666666666666","197799672","937.33"
"New Mexico","Harding County",2023,1,"64","308.0000000000000000","3027062","756.01"
"Michigan","Gladwin County",2023,1,"938","8074.6666666666666665","84994202","809.69"
"Georgia","Pierce County",2023,1,"890","9004.6666666666666667","98149612","838.45"
"Tennessee","Perry County",2023,1,"316","3187.3333333333333334","31342658","756.42"
"Missouri","Daviess County",2023,1,"542","3393.9999999999999999","28452282","644.85"
"Virginia","Madison County",2023,1,"1282","6217.3333333333333334","72817500","900.92"
"Oklahoma","Washita County",2023,1,"572","4192.6666666666666667","42619256","781.94"
"Tennessee","Crockett County",2023,1,"592","7778.6666666666666667","105059224","1038.93"
"Texas","Llano County",2023,1,"1232","10644.6666666666666666","127817622","923.67"
"Missouri","Audrain County",2023,1,"1212","16116.0000000000000000","177170146","845.65"
"Oregon","Wasco County",2023,1,"2304","21212.6666666666666666","285854912","1036.59"
"Michigan","Lapeer County",2023,1,"3672","42610.6666666666663334","511850538","924.02"
"Texas","Archer County",2023,1,"502","3556.0000000000000001","40988434","886.66"
"North Carolina","Johnston County",2023,1,"9738","114996.0000000000003333","1560161846","1043.62"
"Missouri","Knox County",2023,1,"238","1858.0000000000000000","16594342","687.02"
"Virginia","Giles County",2023,1,"1026","10334.0000000000000000","132933690","989.52"
"Louisiana","Natchitoches Parish",2023,1,"2108","28930.6666666666663333","310577342","825.79"
"Oregon","Clatsop County",2023,1,"3944","36596.6666666666666666","445667680","936.76"
"Nevada","Humboldt County",2023,1,"1000","15147.3333333333333333","266515364","1353.45"
"Minnesota","Hubbard County",2023,1,"1324","11224.6666666666666667","135521800","928.74"
"New Jersey","Camden County",2023,1,"26814","401489.3333333333336667","6801730870","1303.17"
"Ohio","Trumbull County",2023,1,"8922","125298.0000000000000000","1548183620","950.46"
"Tennessee","Van Buren County",2023,1,"156","1785.3333333333333333","16807628","724.18"
"Ohio","Jackson County",2023,1,"1494","20174.0000000000000000","215011924","819.84"
"Minnesota","Nobles County",2023,1,"1270","20408.0000000000000000","285722312","1076.96"
"Kentucky","Martin County",2023,1,"410","3600.0000000000000001","42682616","912.02"
"Louisiana","Webster Parish",2023,1,"1982","22506.6666666666666665","267199050","913.23"
"Virginia","Rockingham County",2023,1,"4484","69205.3333333333333333","999236272","1110.67"
"Mississippi","Quitman County",2023,1,"284","2023.3333333333333334","16862372","641.07"
"Kansas","Trego County",2023,1,"240","2212.6666666666666666","23086982","802.62"
"Virginia","Rappahannock County",2023,1,"718","3060.6666666666666667","35730448","898.01"
"Michigan","Gratiot County",2023,1,"1678","25502.0000000000000001","329139582","992.80"
"Texas","Camp County",2023,1,"568","7885.3333333333333333","103657094","1011.20"
"Oklahoma","Kay County",2023,1,"2540","34610.0000000000000000","449849756","999.82"
"Georgia","Lamar County",2023,1,"690","8543.9999999999999999","101113734","910.34"
"Ohio","Licking County",2023,1,"7780","137437.3333333333336667","1904983462","1066.21"
"North Carolina","Transylvania County",2023,1,"2454","18390.0000000000000000","214942540","899.08"
"North Carolina","Madison County",2023,1,"1078","8288.0000000000000000","83212994","772.32"
"Indiana","Grant County",2023,1,"2486","53967.3333333333340000","672840552","959.04"
"West Virginia","Upshur County",2023,1,"1552","15212.6666666666666667","186513728","943.11"
"Ohio","Clark County",2023,1,"5224","93342.0000000000003334","1191039886","981.54"
"Wisconsin","Buffalo County",2023,1,"756","7009.9999999999999999","94264318","1034.39"
"Texas","Taylor County",2023,1,"7758","133388.0000000000000000","1808308512","1042.83"
"Minnesota","Crow Wing County",2023,1,"4722","58565.9999999999996667","731690480","961.03"
"Texas","Jefferson County",2023,1,"11756","237062.6666666666660000","4101775058","1330.96"
"Washington","Clark County",2023,1,"30988","354422.6666666666656667","6144485478","1333.58"
"Florida","Gilchrist County",2023,1,"786","7271.3333333333333333","79053108","836.30"
"Georgia","Pike County",2023,1,"722","6664.0000000000000000","72374292","835.42"
"Texas","Comal County",2023,1,"10002","143226.0000000000003334","2041339440","1096.35"
"Mississippi","Walthall County",2023,1,"442","4845.3333333333333333","43856930","696.26"
"Minnesota","Marshall County",2023,1,"692","4474.0000000000000001","56263968","967.37"
"Virginia","Northampton County",2023,1,"1422","8144.0000000000000000","80808650","763.27"
"Nebraska","Dawes County",2023,1,"624","6076.0000000000000000","58055742","734.99"
"South Carolina","Charleston County",2023,1,"41422","536386.0000000000000000","9020827456","1293.68"
"Michigan","Gogebic County",2023,1,"884","10292.0000000000000000","113309642","846.88"
"Illinois","Adams County",2023,1,"3472","60321.33333333333366670000","801687753","1022.33"
"Missouri","Wayne County",2023,1,"864","4284.0000000000000000","38855204","697.68"
"Texas","Irion County",2023,1,"168","1457.66666666666666670000","39780258","2099.26"
"Missouri","Washington County",2023,1,"1450","9782.0000000000000000","93054152","731.75"
"Montana","Broadwater County",2023,1,"536","2822.0000000000000000","31486046","858.26"
"Missouri","Laclede County",2023,1,"1696","28855.3333333333336667","312673528","833.53"
"New Mexico","Sandoval County",2023,1,"6074","65031.9999999999996667","890310744","1053.10"
"New Jersey","Hudson County",2023,1,"36534","543961.9999999999996667","14797264674","2092.52"
"Minnesota","Yellow Medicine County",2023,1,"762","7294.6666666666666667","81161984","855.86"
"Virginia","Emporia city",2023,1,"634","6710.0000000000000000","66198460","758.90"
"Missouri","Warren County",2023,1,"1444","15406.0000000000000000","180735538","902.42"
"Missouri","Webster County",2023,1,"1696","16760.0000000000000000","177657672","815.39"
"Maine","Penobscot County",2023,1,"10332","137548.6666666666663333","1795010354","1003.85"
"South Dakota","Haakon County",2023,1,"236","1540.6666666666666666","17285020","863.01"
"Ohio","Ottawa County",2023,1,"2442","24813.3333333333333334","349930332","1084.81"
"Texas","Trinity County",2023,1,"478","4475.3333333333333333","44025306","756.72"
"Georgia","Ware County",2023,1,"2058","29446.0000000000000001","323732328","845.70"
"Utah","Sanpete County",2023,1,"1394","18541.3333333333333333","189046412","784.30"
"Kansas","Coffey County",2023,1,"522","6697.9999999999999999","115455354","1325.95"
"Mississippi","Wilkinson County",2023,1,"272","2945.3333333333333333","27163816","709.44"
"Kansas","Cowley County",2023,1,"1562","27178.6666666666663333","311048758","880.35"
"Indiana","Franklin County",2023,1,"718","9189.9999999999999999","92796662","776.74"
"New York","Tompkins County",2023,1,"5534","93465.3333333333339999","1615569288","1329.63"
"Michigan","Sanilac County",2023,1,"1884","19033.33333333333333330000","222390131","898.79"
"Texas","Dallam County",2023,1,"824","8949.3333333333333334","123281054","1059.65"
"Minnesota","Ramsey County",2023,1,"30934","641375.3333333333340000","12589937870","1509.97"
"North Dakota","Sioux County",2023,1,"138","2912.0000000000000000","36763694","971.15"
"North Carolina","Sampson County",2023,1,"2584","34308.6666666666660000","409277770","917.64"
"Minnesota","Anoka County",2023,1,"17386","259154.6666666666666667","4144163188","1230.08"
"Indiana","Whitley County",2023,1,"1476","27489.3333333333336666","444528280","1243.92"
"New York","Steuben County",2023,1,"4358","69203.3333333333340000","1401261064","1557.57"
"Iowa","Poweshiek County",2023,1,"1424","18422.0000000000000000","260613266","1088.22"
"North Dakota","Foster County",2023,1,"344","2926.0000000000000000","37390048","982.97"
"Virginia","Greensville County",2023,1,"900","7926.0000000000000000","116260466","1128.33"
"South Dakota","Custer County",2023,1,"822","4206.6666666666666666","47949588","876.81"
"Nebraska","Frontier County",2023,1,"190","1550.6666666666666666","14709148","729.67"
"Michigan","Emmet County",2023,1,"3328","32837.3333333333333333","456073116","1068.37"
"Kansas","Jackson County",2023,1,"640","8516.0000000000000000","91792056","829.14"
"North Dakota","Burke County",2023,1,"236","1321.9999999999999999","22206914","1292.15"
"Louisiana","Winn Parish",2023,1,"694","8850.6666666666666667","103183306","896.79"
"Kansas","Osborne County",2023,1,"334","2558.0000000000000001","24417398","734.27"
"Louisiana","Richland Parish",2023,1,"1116","12593.3333333333333333","136977266","836.69"
"Kansas","Decatur County",2023,1,"268","1713.3333333333333334","15596058","700.21"
"West Virginia","Wayne County",2023,1,"1300","16676.0000000000000000","234868588","1083.40"
"Oregon","Klamath County",2023,1,"4900","45795.3333333333336666","573128418","962.69"
"Utah","Juab County",2023,1,"714","8777.9999999999999999","100675450","882.24"
"New York","Warren County",2023,1,"4858","69080.6666666666666666","1000556474","1114.15"
"New Jersey","Cape May County",2023,1,"7788","66166.6666666666663333","821730618","955.32"
"Indiana","Decatur County",2023,1,"1374","27838.6666666666663333","360188636","995.26"
"Pennsylvania","Juniata County",2023,1,"1140","12983.3333333333333333","146755316","869.49"
"Missouri","Platte County",2023,1,"6158","93023.3333333333336667","1465487714","1211.84"
"Idaho","Jerome County",2023,1,"1692","22461.3333333333333333","272809138","934.29"
"Illinois","Carroll County",2023,1,"804","7645.3333333333333334","94987096","955.71"
"Wyoming","Uinta County",2023,1,"1694","16286.0000000000000000","194816850","920.17"
"Texas","Austin County",2023,1,"3092","25389.3333333333333334","403702380","1223.11"
"Georgia","Hall County",2023,1,"11588","195052.0000000000000000","3023888868","1192.54"
"Missouri","Osage County",2023,1,"590","8436.0000000000000000","96038364","875.72"
"Kentucky","Pendleton County",2023,1,"524","4486.6666666666666666","59230982","1015.50"
"Oklahoma","Choctaw County",2023,1,"774","10326.0000000000000001","106399238","792.62"
"Montana","Sanders County",2023,1,"1130","6444.6666666666666666","63672250","759.99"
"Kentucky","Bell County",2023,1,"1172","16444.6666666666666667","167396320","783.03"
"Indiana","Miami County",2023,1,"1244","17342.6666666666666666","202656240","898.88"
"South Dakota","Gregory County",2023,1,"470","2993.3333333333333333","27914802","717.36"
"Indiana","Posey County",2023,1,"1138","16909.3333333333333333","283272768","1288.65"
"Iowa","Montgomery County",2023,1,"784","7996.6666666666666666","100515002","966.89"
"North Carolina","Rockingham County",2023,1,"3718","49244.6666666666660000","551502022","861.48"
"North Carolina","Vance County",2023,1,"1930","28350.0000000000000000","323042230","876.52"
"Wyoming","Sheridan County",2023,1,"3282","27280.0000000000000000","360045406","1015.24"
"Iowa","Butler County",2023,1,"878","7244.0000000000000000","94101872","999.26"
"Kansas","Cheyenne County",2023,1,"268","1645.3333333333333334","16323138","763.14"
"Virginia","New Kent County",2023,1,"1284","10850.6666666666666667","125410896","889.07"
"Texas","Lamb County",2023,1,"838","7875.3333333333333333","104879256","1024.42"
"Missouri","Pike County",2023,1,"982","10467.3333333333333333","111845622","821.94"
"Texas","Colorado County",2023,1,"1314","15052.6666666666666666","197972390","1011.69"
"Kentucky","Campbell County",2023,1,"6168","61976.6666666666666666","872960900","1083.49"
"South Carolina","Orangeburg County",2023,1,"3562","56761.3333333333339999","684567178","927.73"
"Maryland","Kent County",2023,1,"1494","14477.3333333333333334","186014880","988.36"
"Maine","Hancock County",2023,1,"5876","40552.6666666666660000","532581746","1010.24"
"Iowa","Plymouth County",2023,1,"1738","22994.0000000000000000","416419598","1393.07"
"Kentucky","Christian County",2023,1,"4152","62670.6666666666660000","839565336","1030.50"
"Tennessee","Johnson County",2023,1,"736","8570.0000000000000001","101602636","911.97"
"Missouri","St. Clair County",2023,1,"450","3361.3333333333333334","30828736","705.51"
"Michigan","St. Joseph County",2023,1,"6066","42349.3333333333336666","549922426","998.88"
"South Dakota","Sully County",2023,1,"188","1082.00000000000000000000","13586215","965.89"
"Kansas","Douglas County",2023,1,"7128","100039.3333333333336666","1277073652","981.98"
"Ohio","Pike County",2023,1,"1170","20863.9999999999999999","312485648","1152.10"
"Virginia","Bath County",2023,1,"890","4042.6666666666666666","54298488","1033.18"
"Missouri","Worth County",2023,1,"144","761.3333333333333334","5470736","552.75"
"North Dakota","Burleigh County",2023,1,"8348","113233.9999999999996667","1726246714","1172.69"
"Illinois","Cumberland County",2023,1,"366","5768.6666666666666666","61552398","820.78"
"North Carolina","Beaufort County",2023,1,"2702","31093.3333333333336667","365263318","903.64"
"Washington","Snohomish County",2023,1,"42056","577129.9999999999993333","11672627364","1555.79"
"South Dakota","Walworth County",2023,1,"502","3913.3333333333333333","43882966","862.59"
"Oregon","Multnomah County",2023,1,"85230","1013819.3333333333336667","20355846708","1544.49"
"South Dakota","McCook County",2023,1,"478","2552.0000000000000000","28862000","869.97"
"Iowa","Woodbury County",2023,1,"6606","100982.0000000000003334","1320903352","1006.20"
"Pennsylvania","Cumberland County",2023,1,"13844","270082.0000000000000000","4285083370","1220.45"
"Kansas","Shawnee County",2023,1,"10542","198509.3333333333333333","2947751054","1142.26"
"Kansas","Doniphan County",2023,1,"418","5058.0000000000000000","57344020","872.10"
"North Carolina","Alleghany County",2023,1,"696","5953.9999999999999999","59229202","765.22"
"South Dakota","Ziebach County",2023,1,"58","401.00000000000000000000","3456009","662.96"
"Ohio","Mahoning County",2023,1,"12486","184594.6666666666666667","2304245924","960.21"
"Minnesota","Faribault County",2023,1,"980","8732.0000000000000000","109323584","963.07"
"Oregon","Umatilla County",2023,1,"5170","64333.3333333333340000","838768848","1002.91"
"Wisconsin","Marquette County",2023,1,"718","7534.6666666666666667","94054244","960.22"
"New Hampshire","Rockingham County",2023,1,"23396","301188.0000000000000000","5557653152","1419.42"
"Illinois","Peoria County",2023,1,"7932","195647.33333333333366670000","4222913112","1660.33"
"Montana","Cascade County",2023,1,"6256","71263.3333333333333334","932598386","1006.67"
"Kansas","Washington County",2023,1,"592","4083.9999999999999999","36130442","680.53"
"Iowa","Clarke County",2023,1,"510","9124.0000000000000000","109234932","920.94"
"Georgia","Gordon County",2023,1,"2454","49306.6666666666659999","701888712","1095.01"
"Maryland","Caroline County",2023,1,"1432","18832.6666666666666666","255449680","1043.40"
"Kansas","Marshall County",2023,1,"794","8889.3333333333333334","99272280","859.04"
"Idaho","Washington County",2023,1,"704","5875.3333333333333334","61269238","802.17"
"Nebraska","Keith County",2023,1,"790","6304.0000000000000000","70314698","858.00"
"Wyoming","Weston County",2023,1,"556","4706.0000000000000000","60480102","988.59"
"Montana","Powell County",2023,1,"492","4664.0000000000000000","60729768","1001.61"
"New York","Albany County",2023,1,"21896","454580.0000000000003333","9036972114","1529.22"
"Texas","Guadalupe County",2023,1,"5284","93254.6666666666660000","1331453812","1098.28"
"Montana","Judith Basin County",2023,1,"236","1029.3333333333333333","9505580","710.36"
"Pennsylvania","Indiana County",2023,1,"3920","55030.0000000000003333","755780648","1056.46"
"Ohio","Sandusky County",2023,1,"2906","49949.3333333333339999","651172040","1002.82"
"Missouri","St. Louis County",2023,1,"89948","1181976.6666666666663333","23392710340","1522.40"
"Tennessee","Blount County",2023,1,"6348","107624.6666666666666666","1631972600","1166.43"
"Washington","Lewis County",2023,1,"4472","53624.6666666666660000","732181614","1050.29"
"Indiana","Jefferson County",2023,1,"1412","24959.3333333333333333","304221440","937.59"
"Kentucky","Todd County",2023,1,"610","5146.6666666666666666","57546272","860.10"
"New Jersey","Ocean County",2023,1,"30500","354003.9999999999993334","4932989410","1071.91"
"Iowa","Lyon County",2023,1,"1086","8998.6666666666666666","96990580","829.10"
"Georgia","Tattnall County",2023,1,"830","11094.6666666666666666","119868692","831.09"
"New Mexico","Mora County",2023,1,"280","1291.3333333333333334","13131722","782.24"
"North Carolina","Edgecombe County",2023,1,"2042","30192.0000000000000000","343874834","876.12"
"Pennsylvania","Carbon County",2023,1,"2578","31931.3333333333340000","340942006","821.33"
"North Carolina","Ashe County",2023,1,"1490","14218.0000000000000000","150549118","814.51"
"Pennsylvania","Bradford County",2023,1,"3130","44417.3333333333340000","639775002","1107.98"
"Tennessee","Anderson County",2023,1,"4040","88710.0000000000000000","1688000658","1463.72"
"Virginia","Franklin city",2023,1,"722","7791.3333333333333334","79197016","781.90"
"Texas","Lampasas County",2023,1,"970","9949.3333333333333334","106743038","825.28"
"Missouri","Polk County",2023,1,"1544","19203.3333333333333334","212348288","850.61"
"Missouri","Lincoln County",2023,1,"2318","24477.9999999999999999","296144306","930.65"
"Wyoming","Platte County",2023,1,"806","6544.6666666666666666","83216192","978.09"
"Wisconsin","Trempealeau County",2023,1,"1592","24508.6666666666666667","299972004","941.49"
"Virginia","King George County",2023,1,"1614","26204.0000000000000000","632137860","1855.67"
"Oklahoma","Johnston County",2023,1,"526","6478.0000000000000000","71473716","848.72"
"Iowa","Wapello County",2023,1,"1750","30217.3333333333336668","388748872","989.62"
"Florida","DeSoto County",2023,1,"1478","19898.6666666666666666","229984990","889.06"
"Montana","Stillwater County",2023,1,"768","7019.3333333333333334","150779914","1652.36"
"Illinois","Moultrie County",2023,1,"654","9940.0000000000000000","122085870","944.79"
"Florida","Leon County",2023,1,"20334","316588.6666666666663333","4483182666","1089.30"
"Wyoming","Johnson County",2023,1,"1076","6422.0000000000000000","70810296","848.17"
"Minnesota","Pope County",2023,1,"756","8490.0000000000000000","116781334","1058.09"
"Michigan","Clare County",2023,1,"1302","13387.3333333333333334","153722964","883.29"
"Illinois","Hamilton County",2023,1,"410","3932.6666666666666666","52012822","1017.37"
"Virginia","Tazewell County",2023,1,"2268","27495.3333333333336667","303389016","848.78"
"Georgia","Clarke County",2023,1,"7864","142490.6666666666666667","2003205514","1081.42"
"Kansas","Greenwood County",2023,1,"388","2935.3333333333333334","24728668","648.04"
"West Virginia","Cabell County",2023,1,"6084","101500.6666666666666667","1350104654","1023.19"
"Illinois","Tazewell County",2023,1,"5088","90811.9999999999996666","1318421832","1116.78"
"Virginia","Hanover County",2023,1,"9520","114322.6666666666663334","1552353952","1044.52"
"New Jersey","Warren County",2023,1,"5508","63949.9999999999996667","1049672076","1262.61"
"Maryland","Frederick County",2023,1,"14084","209716.0000000000003334","3604210252","1322.01"
"Indiana","Cass County",2023,1,"1440","28756.0000000000000000","343702028","919.41"
"Oklahoma","Garvin County",2023,1,"1714","19540.6666666666666667","264183030","1039.97"
"New York","Jefferson County",2023,1,"5812","77379.3333333333333333","1052662390","1046.46"
"Mississippi","Clay County",2023,1,"770","13672.6666666666666666","143517516","807.44"
"Tennessee","Putnam County",2023,1,"4852","77737.3333333333333333","913288406","903.72"
"Tennessee","Trousdale County",2023,1,"326","4064.0000000000000001","51399300","972.88"
"Kansas","Morton County",2023,1,"196","1596.6666666666666666","16436062","791.84"
"Illinois","White County",2023,1,"684","7963.3333333333333333","96261618","929.85"
"Mississippi","Alcorn County",2023,1,"1708","26378.0000000000000000","301919360","880.45"
"Louisiana","Catahoula Parish",2023,1,"542","4275.3333333333333334","39811340","716.30"
"Texas","Somervell County",2023,1,"520","7533.3333333333333334","143922036","1469.59"
"Tennessee","Campbell County",2023,1,"1448","18644.6666666666666666","191884842","791.67"
"Georgia","Schley County",2023,1,"158","2213.3333333333333334","23490128","816.39"
"North Carolina","Moore County",2023,1,"6578","75622.6666666666663333","962335700","978.88"
"Iowa","Floyd County",2023,1,"970","11392.0000000000000000","159873026","1079.52"
"Virginia","Charlottesville city",2023,1,"5614","75718.6666666666666666","1317913286","1338.88"
"Illinois","Kankakee County",2023,1,"4406","76756.66666666666733330000","1013820074","1016.02"
"North Dakota","Logan County",2023,1,"222","1205.3333333333333333","11662672","744.30"
"Florida","Escambia County",2023,1,"19508","288404.6666666666663333","4175524762","1113.69"
"Texas","Scurry County",2023,1,"946","12203.3333333333333333","218942998","1380.10"
"Virginia","Staunton city",2023,1,"2028","22212.0000000000000000","249784124","865.04"
"Texas","Panola County",2023,1,"1150","16014.0000000000000000","238390110","1145.10"
"Florida","Indian River County",2023,1,"11636","114473.9999999999996667","1610442088","1082.17"
"Texas","Fort Bend County",2023,1,"35804","477817.3333333333333334","7351244544","1183.47"
"Mississippi","Hancock County",2023,1,"1972","28064.6666666666663333","429935138","1178.42"
"Texas","Bexar County",2023,1,"91212","1820454.666666666665","30219605236","1276.93"
"Vermont","Rutland County",2023,1,"5086","50451.3333333333339999","723441248","1103.03"
"Mississippi","Jefferson Davis County",2023,1,"314","3134.6666666666666666","31439722","771.51"
"Maine","Waldo County",2023,1,"2824","22206.0000000000000000","304994834","1056.52"
"Illinois","Champaign County",2023,1,"8242","162912.00000000000000000000","2458612645","1160.90"
"Wisconsin","Milwaukee County",2023,1,"54226","925220.0000000000003334","16319417128","1356.80"
"Texas","Yoakum County",2023,1,"572","6121.3333333333333334","143292156","1800.67"
"Kentucky","Mercer County",2023,1,"1116","13550.0000000000000001","199770204","1134.09"
"Georgia","Bartow County",2023,1,"5724","86951.9999999999996666","1193615370","1055.95"
"Mississippi","Jefferson County",2023,1,"142","1862.6666666666666666","19041222","786.35"
"West Virginia","Nicholas County",2023,1,"1574","13770.6666666666666666","184432972","1030.24"
"Iowa","Warren County",2023,1,"2694","24131.3333333333333334","293295868","934.93"
"North Carolina","Greene County",2023,1,"762","9049.3333333333333334","97364232","827.64"
"Minnesota","Roseau County",2023,1,"948","15846.6666666666666667","289935972","1407.41"
"Texas","Madison County",2023,1,"624","8787.3333333333333334","110882590","970.65"
"Texas","Smith County",2023,1,"13724","221865.3333333333336667","3052326630","1058.27"
"Missouri","Greene County",2023,1,"20756","350135.9999999999996666","4752339264","1044.06"
